OFICINA,CLIENTE,RUTA_FLETE,ESTADO,NOMBRE_ESTADO,MUNICIPIO,NOMBRE_MUNIC
'C','50156',12,19,'SUCRE',11,'MEJIAS'
'C','50158',12,19,'SUCRE',14,
'C','50159',12,19,'SUCRE',14,
'C','50160',12,19,'SUCRE',15,'SUCRE'
'C','50161',12,19,'SUCRE',15,'SUCRE'
'C','50162',12,19,'SUCRE',15,'SUCRE'
'C','50163',12,19,'SUCRE',15,'SUCRE'
'C','50165',12,19,'SUCRE',15,'SUCRE'
'C','50166',12,19,'SUCRE',15,'SUCRE'
'C','50168',14,19,'SUCRE',6,'BERMUDEZ'
'C','50170',12,19,'SUCRE',15,'SUCRE'
'C','50172',14,19,'SUCRE',14,
'C','50174',12,19,'SUCRE',15,'SUCRE'
'C','50175',12,19,'SUCRE',14,
'C','50177',14,19,'SUCRE',12,'MONTES'
'C','50178',12,19,'SUCRE',15,'SUCRE'
'C','50179',12,19,'SUCRE',15,'SUCRE'
'C','50181',12,19,'SUCRE',15,'SUCRE'
'C','50182',12,19,'SUCRE',15,'SUCRE'
'C','50183',12,19,'SUCRE',15,'SUCRE'
'C','50186',12,19,'SUCRE',15,'SUCRE'
'C','50187',12,19,'SUCRE',15,'SUCRE'
'C','50188',14,19,'SUCRE',6,'BERMUDEZ'
'C','50189',12,19,'SUCRE',15,'SUCRE'
'C','50190',12,19,'SUCRE',14,
'C','50191',12,19,'SUCRE',15,'SUCRE'
'C','50192',12,19,'SUCRE',14,
'C','50193',12,19,'SUCRE',15,'SUCRE'
'C','50196',12,19,'SUCRE',15,'SUCRE'
'C','50200',12,19,'SUCRE',15,'SUCRE'
'C','50206',12,19,'SUCRE',14,
'C','50207',12,19,'SUCRE',15,'SUCRE'
'C','50208',12,19,'SUCRE',15,'SUCRE'
'C','50213',12,19,'SUCRE',15,'SUCRE'
'C','50215',12,19,'SUCRE',15,'SUCRE'
'C','50216',14,19,'SUCRE',12,'MONTES'
'C','50217',12,19,'SUCRE',15,'SUCRE'
'C','50218',12,19,'SUCRE',15,'SUCRE'
'C','50219',12,19,'SUCRE',14,
'C','50220',12,19,'SUCRE',15,'SUCRE'
'C','50221',12,19,'SUCRE',15,'SUCRE'
'C','50222',12,19,'SUCRE',15,'SUCRE'
