sucursal,codigo,uc,p1,p2,p3,m1,m2,m3
C,0131035,415.52,667.08,667.08,651.74,37.71,37.71,36.24
C,0131040,337.63,464.45,464.45,453.74,27.31,27.31,25.59
C,0131045,149.26,667.08,667.08,651.74,77.62,77.62,77.10
C,0131050,311.48,464.45,464.45,453.74,32.94,32.94,31.35
C,0131055,415.56,667.08,667.08,651.74,37.70,37.70,36.24
C,0131060,394.74,466.72,466.72,456.00,15.42,15.42,13.43
C,0131065,183.15,667.08,667.08,651.74,72.54,72.54,71.90
C,0131070,95.48,464.45,464.45,453.74,79.44,79.44,78.96
C,0131075,147.93,667.08,667.08,651.74,77.82,77.82,77.30
C,0131077,244.58,417.60,417.60,360.00,41.43,41.43,32.06
C,0131080,211.93,337.76,337.76,330.00,37.25,37.25,35.78
C,0131085,295.02,489.76,489.76,478.50,39.76,39.76,38.34
C,0131090,140.40,405.31,405.31,396.00,65.36,65.36,64.55
C,0131095,140.28,270.21,270.21,264.00,48.08,48.08,46.86
C,0131100,118.48,405.31,405.31,396.00,70.77,70.77,70.08
C,0131105,165.17,270.21,270.21,264.00,38.87,38.87,37.44
C,0131115,202.58,405.31,405.31,396.00,50.02,50.02,48.84
C,0131120,165.24,270.21,270.21,264.00,38.85,38.85,37.41
C,0131125,110.95,405.31,405.31,396.00,72.63,72.63,71.98
C,0131130,75.03,270.21,270.21,264.00,72.23,72.23,71.58
C,0131135,176.62,405.31,405.31,396.00,56.42,56.42,55.40
C,0131140,155.20,270.21,270.21,264.00,42.56,42.56,41.21
C,0131145,176.61,405.31,405.31,396.00,56.43,56.43,55.40
C,0131150,200.06,270.21,270.21,264.00,25.96,25.96,24.22
C,0131500,145.44,227.98,227.98,222.74,36.20,36.20,34.70
C,0131505,249.24,405.31,405.31,396.00,38.51,38.51,37.06
C,0131510,218.15,380.75,380.75,372.00,42.71,42.71,41.36
C,0131515,0.00,292.32,292.32,252.00,100.00,100.00,100.00
C,0131520,0.00,292.32,292.32,252.00,100.00,100.00,100.00
C,0131525,0.00,292.32,292.32,252.00,100.00,100.00,100.00
C,0131527,73.37,379.98,379.98,371.25,80.69,80.69,80.24
C,0131530,242.40,574.20,574.20,561.00,57.78,57.78,56.79
C,0131535,275.28,582.64,582.64,569.25,52.75,52.75,51.64
C,0132005,162.04,261.76,261.76,255.74,38.10,38.10,36.64
C,0132010,155.83,264.07,264.07,258.00,40.99,40.99,39.60
C,0132015,184.40,261.76,261.76,255.74,29.55,29.55,27.90
C,0132020,184.42,264.07,264.07,258.00,30.16,30.16,28.52
C,0132035,262.82,455.98,455.98,445.50,42.36,42.36,41.01
C,0132040,322.03,455.98,455.98,445.50,29.38,29.38,27.71
C,0132045,228.54,455.98,455.98,445.50,49.88,49.88,48.70
