sucursal,codigo,p1,p2,p3,cp,uc,m1,m2,m3
C,131010,452.4,452.4,390,282.55,282.8,59.97,59.97,37.91
C,131015,636.85,636.85,549,415.51,415.52,53.27,53.27,32.12
C,131020,452.4,452.4,390,282.55,282.56,60.11,60.11,38.02
C,131025,636.85,636.85,549,149.22,149.28,326.61,326.61,267.77
C,131030,452.4,452.4,390,83.1,312.86,44.6,44.6,24.66
C,131030,452.4,452.4,390,296.05,296.05,52.81,52.81,31.73
C,131035,636.85,636.85,549,415.51,415.52,53.27,53.27,32.12
C,131040,452.4,452.4,390,337.6,337.6,34,34,15.52
C,131045,636.85,636.85,549,149.22,149.26,326.67,326.67,267.81
C,131050,452.4,452.4,390,41.55,320.43,41.19,41.19,21.71
C,131055,636.85,636.85,549,415.51,415.56,53.25,53.25,32.11
C,131060,452.4,452.4,390,282.55,282.6,60.08,60.08,38
C,131065,636.85,636.85,549,183.14,183.15,247.72,247.72,199.75
C,131070,452.4,452.4,390,95.47,95.48,373.82,373.82,308.46
C,131075,636.85,636.85,549,147.92,147.93,330.51,330.51,271.12
C,131077,417.6,417.6,360,244.59,244.58,70.74,70.74,47.19
C,131080,334.08,334.08,288,211.91,211.93,57.64,57.64,35.89
C,131085,469.8,469.8,405,295.01,295.02,59.24,59.24,37.28
C,131090,382.8,382.8,330,140.39,140.4,172.65,172.65,135.04
C,131095,267.96,267.96,231,140.23,140.25,91.06,91.06,64.71
C,131100,382.8,382.8,330,118.47,118.48,223.09,223.09,178.53
C,131105,267.96,267.96,231,165.17,165.17,62.23,62.23,39.86
C,131115,382.8,382.8,330,202.56,202.58,88.96,88.96,62.9
C,131120,267.96,267.96,231,165.17,165.24,62.16,62.16,39.8
C,131125,382.8,382.8,330,110.6,110.95,245.02,245.02,197.43
C,131130,267.96,267.96,231,74.92,75.03,257.14,257.14,207.88
C,131135,382.8,382.8,330,176.59,176.62,116.74,116.74,86.84
C,131140,267.96,267.96,231,155.19,155.2,72.65,72.65,48.84
C,131145,382.8,382.8,330,176.59,176.61,116.75,116.75,86.85
C,131150,267.96,267.96,231,199.96,199.96,34.01,34.01,15.52
C,131500,219.25,219.25,189,145.43,145.44,50.75,50.75,29.95
C,131505,382.8,382.8,330,249.31,249.24,53.59,53.59,32.4
C,131510,431.52,431.52,372,218.14,218.15,97.81,97.81,70.52
C,131530,556.8,556.8,480,242.38,242.4,129.7,129.7,98.02
C,131535,574.2,574.2,495,275.27,275.28,108.59,108.59,79.82
C,132005,247.08,247.08,213,162.01,162.04,52.48,52.48,31.45
C,132010,247.08,247.08,213,155.81,155.83,58.56,58.56,36.69
C,132015,247.08,247.08,213,155.81,155.86,58.53,58.53,36.66
C,132020,247.08,247.08,213,171.39,171.4,44.15,44.15,24.27
C,132035,431.52,431.52,372,262.8,262.82,64.19,64.19,41.54
C,132040,431.52,431.52,372,290.85,290.92,48.33,48.33,27.87
C,132045,431.52,431.52,372,228.53,228.54,88.82,88.82,62.77
C,132050,431.52,431.52,372,262.81,262.85,64.17,64.17,41.53
C,132065,535.92,535.92,462,353.18,353.19,51.74,51.74,30.81
C,132070,556.8,556.8,480,231.84,231.86,140.14,140.14,107.02
C,132075,535.92,535.92,462,353.18,353.2,51.73,51.73,30.8
